Reference,Bill Date,Due Date,GL Account,Property,Unit,Payee Name,Paid,Unpaid,Check #,Paid Date,Description,Work Order Issue,Approval Status,Property Name,GL Account Name
Eli_Test1,02/13/2025,02/13/2025,00000000-10 - Appfolio Vendor Discounts,"Property Name Property - Address 1 Property Address 2 Property City Property, FL Zip Property",test unit,"Meyer, Eliyahu",0.00,1.00,,,Test,,Approved,Property Name Property,Appfolio Vendor Discounts
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",M26 - HOME,HD Supply Facilities Maintenance,449.00,0.00,290469548,09/18/2024,Freezer,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",M26 - HOME,HD Supply Facilities Maintenance,549.00,0.00,290469548,09/18/2024,Stove,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",M26 - HOME,HD Supply Facilities Maintenance,319.00,0.00,290469548,09/18/2024,Dishwasher,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",M26 - HOME,HD Supply Facilities Maintenance,149.00,0.00,290469548,09/18/2024,Microwave,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",M26 - HOME,HD Supply Facilities Maintenance,19.44,0.00,290469548,09/18/2024,Cord,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",M26 - HOME,HD Supply Facilities Maintenance,21.39,0.00,290469548,09/18/2024,Dishwasher Connectors,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",M26 - HOME,HD Supply Facilities Maintenance,151.35,0.00,290469548,09/18/2024,Taxes,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",C15,HD Supply Facilities Maintenance,449.00,0.00,290469548,09/18/2024,Fridge,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",C15,HD Supply Facilities Maintenance,549.00,0.00,290469548,09/18/2024,Stove,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",C15,HD Supply Facilities Maintenance,149.00,0.00,290469548,09/18/2024,Microwave,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",C15,HD Supply Facilities Maintenance,319.00,0.00,290469548,09/18/2024,Dishwasher,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",C15,HD Supply Facilities Maintenance,21.39,0.00,290469548,09/18/2024,Dishwasher Connectors,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",C15,HD Supply Facilities Maintenance,19.44,0.00,290469548,09/18/2024,Cord,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",C15,HD Supply Facilities Maintenance,151.35,0.00,290469548,09/18/2024,Taxes,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",M30 - HOME,HD Supply Facilities Maintenance,449.00,0.00,290469548,09/18/2024,Fridge,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",M30 - HOME,HD Supply Facilities Maintenance,549.00,0.00,290469548,09/18/2024,Stove,,Approved,Park Creek Apartments,Appliances
9229345931,08/30/2024,09/29/2024,1395 - Appliances,"Park Creek Apartments - 2000 Bouldercrest Road SE Atlanta, GA 30316",M30 - HOME,HD Supply Facilities Maintenance,319.00,0.00,290469548,09/18/2024,Dishwasher,,Approved,Park Creek Apartments,Appliances
