Date,GL Account,Credit,Debit,Property Name
6/10/2025,1025 - Infinity Magnolia Vallley Bank,,"73,000.00",Infinity Magnolia LLC
6/11/2025,1025 - Infinity Magnolia Vallley Bank,"27,615.96",,Infinity Magnolia LLC
6/11/2025,1025 - Infinity Magnolia Vallley Bank,"45,991.16",,Infinity Magnolia LLC
6/17/2025,1025 - Infinity Magnolia Vallley Bank,105.3,,Infinity Magnolia LLC
6/10/2025,1026 - University Townhomes Valley Bank,,"41,000.00",University Townhomes
6/16/2025,1026 - University Townhomes Valley Bank,"15,731.26",,University Townhomes
6/16/2025,1026 - University Townhomes Valley Bank,"25,577.34",,University Townhomes
6/17/2025,1026 - University Townhomes Valley Bank,105.3,,University Townhomes
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,695,Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,698,Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,463.00",Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,141.00",Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,928,Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,606.00",Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,106.00",Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,158.00",Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,898,Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,150,Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,4.5,Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,9.5,Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,4.5,Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,9.5,Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,499,Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,904,Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,224.00",Clear Lake Palms
6/3/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,115.00",Clear Lake Palms
6/16/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,115.1,,Clear Lake Palms
6/17/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,445.00",Clear Lake Palms
6/17/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,563.00",Clear Lake Palms
6/17/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,597.00",Clear Lake Palms
6/25/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,042.00",Clear Lake Palms
6/25/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,431,Clear Lake Palms
6/2/2025,1030 - Infinity Luna - Chase (FR) Bank,"33,459.06",,Luna At Hollywood
6/2/2025,1030 - Infinity Luna - Chase (FR) Bank,"65,462.31",,Luna At Hollywood
6/3/2025,1030 - Infinity Luna - Chase (FR) Bank,,"34,000.00",Luna At Hollywood
6/16/2025,1030 - Infinity Luna - Chase (FR) Bank,16.75,,Luna At Hollywood
6/20/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,"5,498.74",,Zuli Shopping Plaza
6/20/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,"9,309.14",,Zuli Shopping Plaza
6/20/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,"8,072.34",,Zuli Shopping Plaza
6/25/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,,"15,889.80",Zuli Shopping Plaza
6/25/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,,"3,059.61",Zuli Shopping Plaza
6/25/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,,"3,873.51",Zuli Shopping Plaza
6/25/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,,"1,882.87",Zuli Shopping Plaza
6/25/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,,741.17,Zuli Shopping Plaza
6/2/2025,"1108 - Infinity Highland Oaks, LLC - City National Bank","1,276.24",,"Infinity Highland Oaks, LLC"
6/2/2025,"1108 - Infinity Highland Oaks, LLC - City National Bank","6,298.58",,"Infinity Highland Oaks, LLC"
6/2/2025,"1108 - Infinity Highland Oaks, LLC - City National Bank","6,879.90",,"Infinity Highland Oaks, LLC"
6/16/2025,"1108 - Infinity Highland Oaks, LLC - City National Bank",30,,"Infinity Highland Oaks, LLC"
6/26/2025,"1108 - Infinity Highland Oaks, LLC - City National Bank",,"14,000.00","Infinity Highland Oaks, LLC"
6/2/2025,1110 - Infinity Majestic PH LLC - City National Bank,"4,160.25",,INFINITY MAJESTIC PH LLC
6/2/2025,1110 - Infinity Majestic PH LLC - City National Bank,"7,154.37",,INFINITY MAJESTIC PH LLC
6/2/2025,1110 - Infinity Majestic PH LLC - City National Bank,"5,938.14",,INFINITY MAJESTIC PH LLC
6/16/2025,1110 - Infinity Majestic PH LLC - City National Bank,30,,INFINITY MAJESTIC PH LLC
6/26/2025,1110 - Infinity Majestic PH LLC - City National Bank,,"18,000.00",INFINITY MAJESTIC PH LLC
6/2/2025,1113 - Infinity Lakeside LLC Valley Bank,"1,841.55",,Lakeside Condominiums
6/2/2025,1113 - Infinity Lakeside LLC Valley Bank,"10,155.10",,Lakeside Condominiums
6/17/2025,1113 - Infinity Lakeside LLC Valley Bank,29.43,,Lakeside Condominiums
6/26/2025,1113 - Infinity Lakeside LLC Valley Bank,,"162,000.00",Lakeside Condominiums
6/30/2025,1113 - Infinity Lakeside LLC Valley Bank,"2,178.47",,Lakeside Condominiums
6/30/2025,1113 - Infinity Lakeside LLC Valley Bank,"9,818.18",,Lakeside Condominiums
6/30/2025,1113 - Infinity Lakeside LLC Valley Bank,"44,703.18",,Lakeside Condominiums
6/30/2025,1113 - Infinity Lakeside LLC Valley Bank,"105,487.86",,Lakeside Condominiums
6/1/2025,1150 - OPERATING CASH IN BANK,,10.5,Luna At Hollywood
6/1/2025,1150 - OPERATING CASH IN BANK,,4.5,Luna At Hollywood
6/1/2025,1150 - OPERATING CASH IN BANK,,"2,050.00",Luna At Hollywood
6/1/2025,1150 - OPERATING CASH IN BANK,,9.5,"Infinity Reserve at Waters, LLC"
6/1/2025,1150 - OPERATING CASH IN BANK,,"1,250.00","Infinity Reserve at Waters, LLC"
6/1/2025,1150 - OPERATING CASH IN BANK,,3,"Infinity Reserve at Waters, LLC"
6/1/2025,1150 - OPERATING CASH IN BANK,,10.5,Laguna Place
6/1/2025,1150 - OPERATING CASH IN BANK,,4.5,Laguna Place
6/1/2025,1150 - OPERATING CASH IN BANK,,"1,885.00",Laguna Place
6/1/2025,1150 - OPERATING CASH IN BANK,,10.5,Infinity Magnolia LLC
6/1/2025,1150 - OPERATING CASH IN BANK,,4.5,Infinity Magnolia LLC
6/1/2025,1150 - OPERATING CASH IN BANK,,230,Infinity Magnolia LLC
6/1/2025,1150 - OPERATING CASH IN BANK,,"1,425.00",Clear Lake Palms
6/1/2025,1150 - OPERATING CASH IN BANK,,10.5,Clear Lake Palms
6/1/2025,1150 - OPERATING CASH IN BANK,,4.5,Clear Lake Palms
6/1/2025,1150 - OPERATING CASH IN BANK,,"1,750.00",Azure Villas
6/1/2025,1150 - OPERATING CASH IN BANK,,85,Azure Villas
6/1/2025,1150 - OPERATING CASH IN BANK,,25,Azure Villas
6/1/2025,1150 - OPERATING CASH IN BANK,,"1,775.00",Clear Lake Palms
6/1/2025,1150 - OPERATING CASH IN BANK,,9.5,Clear Lake Palms
6/1/2025,1150 - OPERATING CASH IN BANK,,3,Clear Lake Palms
6/1/2025,1150 - OPERATING CASH IN BANK,620,,Woodridge Manor
6/1/2025,1150 - OPERATING CASH IN BANK,120,,Woodridge Manor
6/1/2025,1150 - OPERATING CASH IN BANK,85,,Woodridge Manor
6/1/2025,1150 - OPERATING CASH IN BANK,80,,Woodridge Manor
6/1/2025,1150 - OPERATING CASH IN BANK,207.25,,Collins Shopping Plaza
6/1/2025,1150 - OPERATING CASH IN BANK,487.05,,Collins Shopping Plaza
6/1/2025,1150 - OPERATING CASH IN BANK,487.74,,Collins Shopping Plaza
6/1/2025,1150 - OPERATING CASH IN BANK,267.29,,Collins Shopping Plaza
6/1/2025,1150 - OPERATING CASH IN BANK,"2,572.74",,Collins Shopping Plaza
6/1/2025,1150 - OPERATING CASH IN BANK,197.98,,Collins Shopping Plaza
6/1/2025,1150 - OPERATING CASH IN BANK,,10.5,Infinity Magnolia LLC
6/1/2025,1150 - OPERATING CASH IN BANK,,4.5,Infinity Magnolia LLC
6/1/2025,1150 - OPERATING CASH IN BANK,,"1,025.00",Infinity Magnolia LLC
6/1/2025,1150 - OPERATING CASH IN BANK,,10.5,Infinity Las Casitas Apartments LLC
6/1/2025,1150 - OPERATING CASH IN BANK,,4.5,Infinity Las Casitas Apartments LLC
6/1/2025,1150 - OPERATING CASH IN BANK,,"1,500.00",Infinity Las Casitas Apartments LLC
6/1/2025,1150 - OPERATING CASH IN BANK,,10.5,Laguna Place
6/1/2025,1150 - OPERATING CASH IN BANK,,4.5,Laguna Place
6/1/2025,1150 - OPERATING CASH IN BANK,,875.01,Laguna Place
6/1/2025,1150 - OPERATING CASH IN BANK,,10.5,Clear Lake Palms
6/1/2025,1150 - OPERATING CASH IN BANK,,4.5,Clear Lake Palms
6/1/2025,1150 - OPERATING CASH IN BANK,,"1,865.00",Clear Lake Palms
6/1/2025,1150 - OPERATING CASH IN BANK,,"1,350.00",Roselea Manor Apartments
6/1/2025,1150 - OPERATING CASH IN BANK,,10.5,Roselea Manor Apartments
6/1/2025,1150 - OPERATING CASH IN BANK,,4.5,Roselea Manor Apartments
6/1/2025,1150 - OPERATING CASH IN BANK,,10.5,Parc Place Villas
6/1/2025,1150 - OPERATING CASH IN BANK,,4.5,Parc Place Villas
6/1/2025,1150 - OPERATING CASH IN BANK,,"1,200.00",Parc Place Villas
6/1/2025,1150 - OPERATING CASH IN BANK,,10.5,South Bay Plantation
6/1/2025,1150 - OPERATING CASH IN BANK,,4.5,South Bay Plantation
6/1/2025,1150 - OPERATING CASH IN BANK,,"1,500.00",South Bay Plantation
6/1/2025,1150 - OPERATING CASH IN BANK,,9.5,Luna At Hollywood
6/1/2025,1150 - OPERATING CASH IN BANK,,3,Luna At Hollywood
6/1/2025,1150 - OPERATING CASH IN BANK,,"2,275.00",Luna At Hollywood
6/1/2025,1150 - OPERATING CASH IN BANK,,9.5,"Infinity Reserve at Waters, LLC"
6/1/2025,1150 - OPERATING CASH IN BANK,,3,"Infinity Reserve at Waters, LLC"
6/1/2025,1150 - OPERATING CASH IN BANK,,"1,175.00","Infinity Reserve at Waters, LLC"
6/1/2025,1150 - OPERATING CASH IN BANK,,9.5,Azure Villas
6/1/2025,1150 - OPERATING CASH IN BANK,,3,Azure Villas
6/1/2025,1150 - OPERATING CASH IN BANK,,"1,750.00",Azure Villas
6/1/2025,1150 - OPERATING CASH IN BANK,,85,Azure Villas
6/1/2025,1150 - OPERATING CASH IN BANK,,25,Azure Villas
6/1/2025,1150 - OPERATING CASH IN BANK,,10.5,Buena Vista
6/1/2025,1150 - OPERATING CASH IN BANK,,4.5,Buena Vista
6/1/2025,1150 - OPERATING CASH IN BANK,,"1,250.00",Buena Vista
