Date,GL Account,Credit,Debit,Property Name
05/09/2025,1025 - Infinity Magnolia Vallley Bank,,"74,000.00",Infinity Magnolia LLC
05/12/2025,1025 - Infinity Magnolia Vallley Bank,"29,017.34",,Infinity Magnolia LLC
05/12/2025,1025 - Infinity Magnolia Vallley Bank,"44,589.78",,Infinity Magnolia LLC
05/15/2025,1025 - Infinity Magnolia Vallley Bank,105.30,,Infinity Magnolia LLC
05/09/2025,1026 - University Townhomes Valley Bank,,"42,000.00",University Townhomes
05/14/2025,1026 - University Townhomes Valley Bank,"16,506.82",,University Townhomes
05/14/2025,1026 - University Townhomes Valley Bank,"24,801.78",,University Townhomes
05/15/2025,1026 - University Townhomes Valley Bank,105.30,,University Townhomes
05/15/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,99.62,,Clear Lake Palms
05/28/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,"18,000.00",,Clear Lake Palms
05/15/2025,1030 - Infinity Luna - Chase (FR) Bank,10.16,,Luna At Hollywood
05/28/2025,1030 - Infinity Luna - Chase (FR) Bank,,"20,000.00",Luna At Hollywood
05/29/2025,1030 - Infinity Luna - Chase (FR) Bank,,"43,000.00",Luna At Hollywood
05/19/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,"5,774.68",,Zuli Shopping Plaza
05/19/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,"9,033.20",,Zuli Shopping Plaza
05/19/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,"8,072.34",,Zuli Shopping Plaza
05/23/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,,"15,889.80",Zuli Shopping Plaza
05/23/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,,"3,059.61",Zuli Shopping Plaza
05/23/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,,"3,873.51",Zuli Shopping Plaza
05/23/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,,"1,882.87",Zuli Shopping Plaza
05/23/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,,741.17,Zuli Shopping Plaza
05/15/2025,"1108 - Infinity Highland Oaks, LLC - City National Bank",30.00,,"Infinity Highland Oaks, LLC"
05/29/2025,"1108 - Infinity Highland Oaks, LLC - City National Bank",,"14,000.00","Infinity Highland Oaks, LLC"
05/15/2025,1110 - Infinity Majestic PH LLC - City National Bank,30.00,,INFINITY MAJESTIC PH LLC
05/29/2025,1110 - Infinity Majestic PH LLC - City National Bank,,"17,000.00",INFINITY MAJESTIC PH LLC
05/15/2025,1113 - Infinity Lakeside LLC Valley Bank,30.30,,Lakeside Condominiums
05/23/2025,1113 - Infinity Lakeside LLC Valley Bank,,"162,000.00",Lakeside Condominiums
05/30/2025,1113 - Infinity Lakeside LLC Valley Bank,"47,948.19",,Lakeside Condominiums
05/30/2025,1113 - Infinity Lakeside LLC Valley Bank,"102,242.85",,Lakeside Condominiums
05/08/2025,1150 - OPERATING CASH IN BANK,1.63,,Collins Shopping Plaza
05/08/2025,1150 - OPERATING CASH IN BANK,,9.50,"Infinity Reserve at Waters, LLC"
05/08/2025,1150 - OPERATING CASH IN BANK,,3.00,"Infinity Reserve at Waters, LLC"
05/08/2025,1150 - OPERATING CASH IN BANK,,"1,020.00","Infinity Reserve at Waters, LLC"
05/08/2025,1150 - OPERATING CASH IN BANK,,150.00,"Infinity Reserve at Waters, LLC"
05/08/2025,1150 - OPERATING CASH IN BANK,,"1,000.00","Infinity Magnolia 2, LLC"
05/08/2025,1150 - OPERATING CASH IN BANK,,10.50,"Infinity Magnolia 2, LLC"
05/08/2025,1150 - OPERATING CASH IN BANK,,4.50,"Infinity Magnolia 2, LLC"
05/08/2025,1150 - OPERATING CASH IN BANK,,150.00,"Infinity Magnolia 2, LLC"
05/08/2025,1150 - OPERATING CASH IN BANK,,"1,149.00",Buena Vista
05/08/2025,1150 - OPERATING CASH IN BANK,,3.00,Buena Vista
05/08/2025,1150 - OPERATING CASH IN BANK,,10.50,Buena Vista
05/08/2025,1150 - OPERATING CASH IN BANK,,4.50,Buena Vista
