Source,Guest Card Inquiries,Showings,Applications,Approved Applications,Converted Tenants,Property Name
2108 referral,1,0,0,0,0,
501 refferral,2,0,1,1,1,
Add On,3,0,2,1,2,
add on 05-202,1,0,0,0,0,
add on 13-202,1,0,1,1,1,
add on to 04-103,1,0,1,1,1,
adding on a unit,1,0,1,1,1,
Additional Tenant,3,0,2,2,3,
additional tenat,1,0,1,1,1,
Apartment List,14,0,0,0,0,
Apartments.com,338,2,8,3,0,
applicant referral,1,0,1,0,0,
Atlanta Apartment Magazine,83,3,1,1,0,
b102,1,0,1,1,1,
craigslist,1,0,0,0,0,
Drive By,26,2,8,6,4,
Drive by s203,1,0,1,1,1,
Easter event,1,0,1,1,0,
EveryApartment,2,0,0,0,0,
Facebook,11,0,8,4,1,
Family Friend,1,0,1,1,0,
family used to stay here,1,0,0,0,0,
flyer,1,0,1,1,1,
Google,2,0,2,1,0,
he live here,1,0,1,1,1,
iliana res ref,1,0,0,0,0,
INFINITY BH,1,0,0,0,0,
Infinity BH website,5,0,0,0,0,
INFINITY WEBSITE,1,0,0,0,0,
J Brown refferal,0,0,1,0,0,
luis aberto res ref,1,0,0,0,0,
New Tenants,1,0,0,0,0,
No Source Recorded,62,0,46,32,32,
Online,1,0,1,0,0,
ONLINE SEARCHING,2,0,0,0,0,
Past resident,1,0,1,1,0,
ref16-303 Clauia vasqus,1,0,0,0,0,
referral,1,0,0,0,0,
Referral 1035,1,0,0,0,0,
Referral 2807,0,0,1,1,1,
referral from 2101,1,0,1,1,1,
Refferral 3105,2,0,2,0,0,
Rental Source,1,0,0,0,0,
res ref 16-303 Claudia vazquez,1,0,1,1,2,
res ref el gordo,1,0,0,0,0,
res ref. Evelyn,1,0,0,0,0,
Resident Referral,12,0,9,5,6,
Shared Application Link,12,0,12,7,1,
Show Me The Rent,1,0,0,0,0,
this es an add on 13-301,1,0,0,0,0,
Trulia,1,0,1,1,0,
Uloop,29,0,0,0,0,
walk in,166,1,85,57,34,
web google,1,0,0,0,0,
Website,103,1,52,20,15,
Website (Apartments.com),2,0,0,0,0,
Website (zillow),6,1,1,0,0,
Word Of Mouth,1,1,0,0,0,
Y Braddock refferal,2,0,1,1,0,
Zillow Rental Network,686,15,10,4,3,
Zumper,150,2,2,0,0,
Zumper.com,1,0,0,0,0,
