Purchase Order Number,Property,Description,GL Account,Unit Name,Vendor,Approval Status,Last Approver,Last Approved On,Created At,Required By,Order Submitted Date,Received,Completed,Sum of Bills,Amount,All Bills,Billed Amount (Line Item),Property Name
12181,,Supplies need for maintenance repairs - Chadwell,6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Approved,Mordechai Levenberg,10/01/2024,09/30/2024,,12/05/2024,Yes,Yes,"1,679.02","1,679.02",1679.02,"1,679.02",
12355,,"Quill - Copy paper, sugar, creamer, cups",7420 - Office Supplies,,QUILL.COM,Exempt,,,10/15/2024,,,No,Yes,,206.72,,,
12589,,"Chadwell Supply- 6 leg relay , cabonet pulls , filters, cover plates, ac filters, quarter round,",6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Exempt,,,10/31/2024,,,No,Yes,396.65,396.65,396.65,396.65,
12685,,"PPG Paint - 5 gallons exterior building paint, extention roller, and pads",6730 - Supplies Repairs and Maintenance,,PPG Paints,Exempt,,,11/07/2024,,,No,Yes,267.65,267.65,267.65,267.65,
12690,,Bulk Trash Pick Up - After hurricane Milton - Several Trees fall and needed to be picked up from property,6449 - Waste Special Services,,"Valiant Waste Services, LLC",Approved,Bibiana Sarmiento,11/07/2024,11/07/2024,,,No,No,"1,200.00","1,200.00",1200.00,"1,200.00",
12998,,Golf Cart Blue - Not working - General Maintenance - Repairs needed,6210 - Repair,,MEDINA TIRES SERVICES,Approved,Mordechai Levenberg,11/26/2024,11/25/2024,,,No,No,"3,450.60","1,822.05","1822.05, 1628.55","1,822.05",
13099,,Flowers for reserve,6249 - Landscaping Special Services,,HOME DEPOT CREDIT CARD SERVICES,Approved,David  Patino,12/03/2024,12/03/2024,12/03/2024,,No,No,532.40,532.40,532.40,532.40,
13295,,PVC DC  D/W Tailpiece,,,Chadwell Supply,Exempt,,,12/13/2024,,,No,No,,0.00,,,
13413,,Homax Pre-Mix Texture,,,Lowe's Pro Supply,Exempt,,,12/18/2024,,12/18/2024,Yes,Yes,44.55,44.55,44.55,44.55,
13549,,Drain clog and pipe replacement master bathroom sink,,,Bamboo Plumbing,Exempt,,,12/26/2024,,,No,Yes,395.00,395.00,395.00,395.00,
13673,,"Replace 100 amp from meter can to breaker, replace 100 amp breaker includes parts , labor and permit.",1405 - Building Improvements,,Empire Electric Inc,Approved,David  Patino,01/03/2025,01/03/2025,,,No,No,790.00,790.00,790.00,790.00,
13770,,R410A REFRIGERANT - 25 LB,6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Approved,Mordechai Levenberg,01/09/2025,01/08/2025,01/08/2025,01/23/2025,Yes,Yes,"1,847.69",318.44,1847.69,318.44,
13870,,Supplies needed for property,6730 - Supplies Repairs and Maintenance,,Lowe's Pro Supply,Exempt,,,01/13/2025,,,No,No,,222.54,,,
13980,,Vertical slats,,,Lowe's Pro Supply,Exempt,,,01/16/2025,,01/16/2025,No,Yes,212.93,212.93,212.93,212.93,
13983,,1	Mc cable 12/2 roll		,6730 - Supplies Repairs and Maintenance,,JMR Electric services LLC,Approved,Mark Katz,01/21/2025,01/16/2025,01/16/2025,,No,No,740.00,310.00,740.00,310.00,
13983,,Miscellaneous materials,6730 - Supplies Repairs and Maintenance,,JMR Electric services LLC,Approved,Mark Katz,01/21/2025,01/16/2025,01/16/2025,,No,No,740.00,65.00,740.00,65.00,
13983,,labor,6210 - Repair,,JMR Electric services LLC,Approved,Mark Katz,01/21/2025,01/16/2025,01/16/2025,,No,No,740.00,325.00,740.00,325.00,
14097,,water meter repair building 14,6210 - Repair,,Douyon Maintenance Inc,Exempt,,,01/22/2025,,,No,Yes,350.00,350.00,350.00,350.00,
14124,,The Standard- Abatement of units with asbestos,6217 - The Standard emergency Oct 2024,,Abatement and Demolition Services,Approved,Justin Lichtman,02/24/2025,01/23/2025,02/25/2025,,No,No,"5,275.00","5,275.00",5275.00,,
