Source,Guest Card Inquiries,Showings,Applications,Approved Applications,Converted Tenants,Property Name
626,0,0,1,1,1,
Additional Tenant,16,0,13,13,12,
Apartment Guide,2,0,1,1,1,
Apartment List,9,0,1,0,0,
Apartments.com,396,3,18,8,1,
appfolio,0,0,1,1,1,
applying with her mother Gordon,1,0,1,0,0,
Area referral,1,0,1,1,1,
Atlanta Apartment Magazine,52,0,0,0,0,
Caller Didn't Provide Source,8,0,0,0,0,
Employee referral,1,0,1,1,1,
EveryApartment,2,0,0,0,0,
Facebook,20,3,10,5,4,
FAMILIAR WITH THE AREA,2,0,0,0,0,
Google,2,0,1,0,0,
Infinity BH website,10,0,1,1,0,
New Tenants,1,0,0,0,0,
No Source Recorded,43,3,27,18,17,
ONLINE,2,0,1,1,0,
Phone Call,8,1,2,1,2,
Redsin,1,0,0,0,0,
Rent College Pads,1,0,0,0,0,
Rent.,1,0,2,1,1,
Rent.com,1,0,0,0,0,
Resident,4,0,1,1,1,
Resident Referral,33,0,19,17,13,
Resident referral - from unit 03-201 - Francis,1,0,0,0,0,
Resident Referral from 16-304,1,0,1,0,0,
Shared Application Link,15,0,17,11,0,
Transfer Tenant,2,0,2,0,0,
Uloop,20,0,0,0,0,
Walk In,181,2,69,46,32,
Website,103,3,61,27,6,
Website (Apartments.com),3,0,2,0,0,
Website (zillow),6,1,0,0,0,
Zillow Rental Network,"1,188",11,31,13,6,
Zillow.com,3,0,0,0,0,
Zumper,140,1,1,0,0,
