Purchase Order Number,Property,Description,GL Account,Unit Name,Vendor,Approval Status,Last Approver,Last Approved On,Created At,Required By,Order Submitted Date,Received,Completed,Sum of Bills,Amount,All Bills,Billed Amount (Line Item),Property Name
13673,,"Replace 100 amp from meter can to breaker, replace 100 amp breaker includes parts , labor and permit.",1405 - Building Improvements,,Empire Electric Inc,Approved,David  Patino,01/03/2025,01/03/2025,,,No,No,790.00,790.00,790.00,790.00,
13770,,R410A REFRIGERANT - 25 LB,6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Approved,Mordechai Levenberg,01/09/2025,01/08/2025,01/08/2025,01/23/2025,Yes,Yes,"1,847.69",318.44,1847.69,318.44,
13870,,Supplies needed for property,6730 - Supplies Repairs and Maintenance,,Lowe's Pro Supply,Exempt,,,01/13/2025,,,No,No,,222.54,,,
13980,,Vertical slats,,,Lowe's Pro Supply,Exempt,,,01/16/2025,,01/16/2025,No,Yes,212.93,212.93,212.93,212.93,
13983,,1	Mc cable 12/2 roll		,6730 - Supplies Repairs and Maintenance,,JMR Electric services LLC,Approved,Mark Katz,01/21/2025,01/16/2025,01/16/2025,,No,No,740.00,310.00,740.00,310.00,
13983,,Miscellaneous materials,6730 - Supplies Repairs and Maintenance,,JMR Electric services LLC,Approved,Mark Katz,01/21/2025,01/16/2025,01/16/2025,,No,No,740.00,65.00,740.00,65.00,
13983,,labor,6210 - Repair,,JMR Electric services LLC,Approved,Mark Katz,01/21/2025,01/16/2025,01/16/2025,,No,No,740.00,325.00,740.00,325.00,
14097,,water meter repair building 14,6210 - Repair,,Douyon Maintenance Inc,Exempt,,,01/22/2025,,,No,Yes,350.00,350.00,350.00,350.00,
14124,,The Standard- Abatement of units with asbestos,6217 - The Standard emergency Oct 2024,,Abatement and Demolition Services,Approved,Justin Lichtman,02/24/2025,01/23/2025,02/25/2025,,No,No,"5,275.00","5,275.00",5275.00,,
14169,,12 clogged gutters and main drain blow out,6255 - Pool Equipment/Repairs/Supplies,,American Pool,Approved,Mariah Cruz,03/07/2025,01/24/2025,,,No,Yes,,"1,050.00",,,
14240,,"Chadwell Supply - Gloves, trash bags, drip pans, sink tailpiece , deadbolts, passage locks, tub stems, tub handles , burner elements ,water",6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Approved,David  Patino,01/28/2025,01/28/2025,,,No,No,974.57,974.57,974.57,974.57,
14455,,Visa Gift card- Move in special,,,,Approved,Linda Villegas,02/05/2025,02/05/2025,,,No,No,,500.00,,,
14703,,Pull Station off/activated,,,Fire Tech Extinguisher Service & Safety Equipment Co. LLC,Exempt,,,02/13/2025,,,No,No,,0.00,,,
14787,,1037-Apt cleaning and patio power wash 1039- Apt cleaning and patio power wash 2030- Apt cleaning	2006- Cleaning Service 1023- patio power wash,1405 - Building Improvements,,,Approved,Mitch Yoffe,02/17/2025,02/17/2025,,,No,No,570.00,570.00,570.00,,
14892,,301128,,,Chadwell Supply,Pending (1 of 2),,,02/19/2025,,,No,No,,567.00,,,
14892,,301151,,,Chadwell Supply,Pending (1 of 2),,,02/19/2025,,,No,No,,626.40,,,
14892,,305108,,,Chadwell Supply,Pending (1 of 2),,,02/19/2025,,,No,No,,85.32,,,
14892,,304012,,,Chadwell Supply,Pending (1 of 2),,,02/19/2025,,,No,No,,18.34,,,
14892,,207385,,,Chadwell Supply,Pending (1 of 2),,,02/19/2025,,,No,No,,13.07,,,
14964,,lake clean out (heavy clean out),6251 - Cleaning Services,,"THE LAKE DOCTORS, INC. -",Approved,Mark Katz,02/21/2025,02/21/2025,,,No,Yes,,750.00,,,
14978,,Chadwell-Shop Supplies,6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Exempt,,,02/21/2025,,,No,Yes,128.99,128.99,128.99,128.99,
15208,,Chadwell-Shop Supplies,6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Approved,Bibiana Sarmiento,03/03/2025,03/03/2025,,,No,Yes,,"1,475.74",,,
